50ад_274_вдад;;40fl_dlfl_274;;30fl_dlfl_274;;20fl_274_dlfl;;10fl_dlfl_274;;10fl_withsalt;;20fl_withsalt;;30fl_dlfl_withoutsalt;;40fl_withsalt;;50fl_withsalt;;Column61;Column62;Column63;Column64;Column71;Column72;Column73;Column74;Column75;Column76
Time (s);Intensity (a.u.);Time (s);Intensity (a.u.);Time (s);Intensity (a.u.);Time (s);Intensity (a.u.);Time (s);Intensity (a.u.);Time (s);Intensity (a.u.);Time (s);Intensity (a.u.);Time (s);Intensity (a.u.);Time (s);Intensity (a.u.);Time (s);Intensity (a.u.);50fl_phos;;40fl_phos;;30fl_pdos;;20fl_ph_withsalt;;10fl_phos_withsalt;
0.003104999894;185.8845062;0.003104999894;178.1392212;0.003104999894;179.9177399;0.003104999894;183.87677;0.003104999894;172.7140198;0.003104999894;224.0143738;0.003104999894;348.0259094;0.003104999894;441.9134216;0.003104999894;533.4058838;0.003104999894;608.7949829;Time (s);Intensity (a.u.);Time (s);Intensity (a.u.);Time (s);Intensity (a.u.);Time (s);Intensity (a.u.);Time (s);Intensity (a.u.)
0.009124999866;36.87892151;0.009124999866;34.42486954;0.009124999866;30.44993401;0.009124999866;32.08169556;0.009124999866;27.13367653;0.009124999866;46.85209274;0.009124999866;94.96179199;0.009124999866;139.5001526;0.009124999866;190.7259674;0.009124999866;235.0525818;0.005104999989;350.6934204;0.005104999989;276.8644409;0.005104999989;163.6618805;0.005104999989;112.6132202;0.005104999989;57.43515015
0.01514500007;24.4887619;0.01514500007;24.36858368;0.01514500007;22.98147774;0.01514500007;23.59639931;0.01514500007;18.54277802;0.01514500007;35.28879929;0.01514500007;80.0071106;0.01514500007;127.2956543;0.01514500007;173.1845398;0.01514500007;215.6123657;0.01512499992;342.1695251;0.01512499992;271.3921509;0.01512499992;158.8798218;0.01512499992;112.0506134;0.01512499992;53.95610809
0.02116500027;21.59209251;0.02116500027;20.778965;0.02116500027;19.29083633;0.02116500027;17.07348824;0.02116500027;14.05936337;0.02116500027;28.74530983;0.02116500027;71.18067169;0.02116500027;119.928154;0.02116500027;164.9255524;0.02116500027;204.898819;0.02514499985;342.5011292;0.02514499985;269.2720337;0.02514499985;158.2014465;0.02514499985;111.1152573;0.02514499985;54.67243195
0.02718500048;18.26751328;0.02718500048;16.51984596;0.02718500048;16.05126572;0.02718500048;15.36221218;0.02718500048;12.85299683;0.02718500048;25.15481186;0.02718500048;67.81725311;0.02718500048;106.5826416;0.02718500048;153.1874084;0.02718500048;195.5678711;0.03516500071;338.0643005;0.03516500071;268.1491089;0.03516500071;156.2422638;0.03516500071;108.6906509;0.03516500071;53.83718109
0.03320500255;15.93468285;0.03320500255;16.394104;0.03320500255;14.29077435;0.03320500255;13.17370033;0.03320500255;9.26283741;0.03320500255;21.87944794;0.03320500255;62.9931221;0.03320500255;101.6564941;0.03320500255;152.0716705;0.03320500255;192.0635529;0.0451849997;337.9273071;0.0451849997;263.1143188;0.0451849997;157.8593445;0.0451849997;108.3186798;0.0451849997;52.53129196
0.03922500089;15.1942606;0.03922500089;14.60617924;0.03922500089;12.50583267;0.03922500089;12.30085087;0.03922500089;8.424856186;0.03922500089;21.9774456;0.03922500089;60.64536285;0.03922500089;99.26230621;0.03922500089;142.6356812;0.03922500089;189.815506;0.0552049987;335.3526306;0.0552049987;263.0545044;0.0552049987;155.0497284;0.0552049987;107.9873047;0.0552049987;52.74990845
0.04524500296;11.72910595;0.04524500296;12.95685387;0.04524500296;9.756167412;0.04524500296;11.8101387;0.04524500296;8.45208931;0.04524500296;20.48779678;0.04524500296;56.7701416;0.04524500296;99.81446075;0.04524500296;140.2590027;0.04524500296;181.7638855;0.0652249977;335.145874;0.0652249977;261.1044922;0.0652249977;155.5492249;0.0652249977;104.0112534;0.0652249977;52.11118317
0.0512650013;11.75008774;0.0512650013;11.32619381;0.0512650013;11.24171257;0.0512650013;9.28929615;0.0512650013;6.705575466;0.0512650013;18.7152462;0.0512650013;56.54856491;0.0512650013;95.27456665;0.0512650013;137.3373871;0.0512650013;174.0401459;0.07524500042;331.2964783;0.07524500042;259.5832825;0.07524500042;152.9951477;0.07524500042;104.8200226;0.07524500042;51.16217041
